1931,11.516821999769803,11.129653376691925,-15.9,42.4,1
1932,9.840696386552759,11.717328487625405,-27.5,39.1,2
1933,8.378660366133083,13.620273695799929,-37.5,43.5,3
1934,17.34611893330581,9.854299044188025,-6.5,44.6,2
1935,14.676047933410516,10.573978255388198,-22.0,42.4,5
1936,11.770031305408644,11.485123475113994,-38.1,47.4,13
1937,13.520038994609589,11.313501147636794,-39.8,41.8,20
1938,13.98053149524051,10.802139652515649,-32.0,41.1,24
1939,14.259758912887921,10.836847991633398,-30.3,43.3,30
1940,13.462398823490616,11.084314746391426,-32.0,42.8,35
1941,13.325022624484692,10.095995919893356,-27.0,42.2,67
1942,13.13930768590968,11.44776459762276,-34.8,47.9,166
1943,14.838510328876247,11.167054608465055,-43.9,48.5,226
1944,14.489311204196657,10.763502731079042,-33.3,48.5,234
1945,15.259493331574083,10.635848597275379,-35.3,46.1,252
1946,13.792629659513114,10.384379062319544,-33.7,45.0,191
1947,14.683645681463124,11.088619862410978,-32.5,49.0,149
1948,11.554895439313318,12.18411006981759,-45.6,60.1,393
1949,12.682058971290237,11.748528848683705,-55.6,48.3,453
1950,12.267854445473866,11.711757130950511,-45.6,48.9,462
1951,12.32621842726505,11.925770711419744,-46.7,46.1,465
1952,12.929909740762941,11.54807492497462,-53.3,46.3,461
1953,13.50346637837979,11.059727423456394,-41.4,46.3,459
1954,13.223720226917994,11.470362716996714,-45.0,47.8,459
1955,10.643049754896154,11.885797058316863,-43.3,47.2,490
1956,12.05393117789822,11.90285812813304,-56.1,47.2,408
1957,12.205804029653857,11.552908341525997,-49.4,48.3,412
1958,11.900642236038735,11.708541977224554,-45.6,48.3,418
1959,11.613714806609117,12.245768524806925,-47.8,47.2,419
1960,11.432443139829953,12.114761871333146,-40.6,48.9,414
1961,11.450480332027725,11.682175792318146,-42.8,48.9,404
1962,11.305208101559334,12.135241677625405,-45.6,46.7,406
1963,11.387920342856683,12.611814755620777,-46.1,46.1,410
1964,12.242030159759445,11.62696733088691,-40.6,47.2,376
1965,11.667825144282075,11.479030352315624,-41.4,44.4,371
1966,12.313558861550883,11.603970227043058,-44.8,45.0,348
1967,12.209172686282448,11.443351554374766,-40.6,45.7,346
1968,12.417275913255173,11.446705601344876,-42.2,45.6,343
1969,12.441025509617175,11.541905395305493,-45.0,47.4,339
1970,12.649190656604512,11.832921958932973,-37.8,48.9,333
1971,11.815486480912625,11.665231612795255,-38.9,47.8,316
1972,11.889563522215157,11.749278857391191,-41.7,48.3,288
1973,12.245520821587165,11.90261931331577,-61.0,56.0,659
1974,11.940750218753672,11.963469254840907,-44.0,56.0,677
1975,12.297483881151557,12.15461276559103,-49.3,56.1,702
1976,11.709230672078029,12.187732459715487,-68.8,56.0,688
1977,12.126220996459711,12.556066567193986,-68.8,56.0,708
1978,11.507455287721228,12.764108055313567,-66.6,55.0,702
1979,11.506210173466966,12.611735904685032,-50.0,54.0,716
1980,12.139049858613232,12.45024243156925,-54.9,54.4,730
1981,12.809389122620269,11.784128739008052,-58.2,54.4,730
1982,12.131684990641919,12.26534947371344,-47.0,54.0,739
1983,11.954996613769076,12.218010185619375,-45.5,54.0,747
1984,12.273459054210168,11.997763644865483,-56.6,54.4,755
1985,11.647594983462561,12.780536190011139,-64.9,54.0,767
1986,13.20016687826992,11.76258137267092,-41.6,59.5,806
1987,13.22903127345417,11.360247075314637,-46.8,60.7,805
1988,12.366431862897391,12.419436076809292,-47.1,54.0,778
1989,13.751289449792152,12.381333389748033,-69.3,54.1,924
1990,14.696343693206043,11.314823222572867,-73.0,54.0,1009
1991,13.70511587750923,11.360645693055792,-74.0,60.0,966
1992,12.600892972291575,11.390180247902471,-88.9,56.0,855
1993,12.598682943482578,11.989628830219623,-59.5,54.0,906
1994,12.446497698036229,12.334577357741518,-66.1,56.5,862
1995,12.459199469282769,11.893135189524626,-52.6,56.6,917
1996,11.617415512047934,12.554333200323853,-61.0,54.0,872
1997,11.991707200046484,11.857186974839252,-43.2,56.0,825
1998,12.924570945392368,11.450484294267648,-59.4,56.0,787
1999,12.734524043380842,11.731114563069093,-60.0,56.0,846
2000,11.869305308189713,12.104307507034129,-64.0,54.1,804
2001,12.360668370653976,11.466270992197485,-88.3,51.0,833
2002,12.398689369076731,11.717240418107075,-59.0,56.0,879
2003,12.01401341746701,12.11446420495932,-46.2,56.0,883
2004,12.127100735741521,11.76989992569592,-61.0,56.0,920
2005,12.062502773281627,11.998650904522803,-60.0,61.0,909
2006,12.689670848637883,11.27761772152535,-54.0,61.0,914
2007,12.075869072494264,12.181928948338236,-51.0,61.0,924
2008,11.470950850470132,12.105792453061856,-73.0,61.0,929
2009,11.235686019833128,12.058447947369993,-73.0,61.0,932
2010,11.771476853419697,12.038549266953869,-52.0,61.7,946
2011,11.853945433730235,12.272180030731686,-83.0,61.8,953
2012,12.913390179551044,11.544757916220084,-73.0,57.0,965
2013,11.185239228325528,12.309393665240076,-50.0,54.0,967
2014,11.071440090187615,12.485397322015645,-73.7,59.0,925
2015,11.973480907952958,12.111790694041725,-44.7,61.0,925
